task,fold,method,subjects,BA,macro_F1,accuracy,selected_epoch,selected_inner_val_BA,C1_minus_B0_BA_pp
WBCIC_MI,0,B0_Exact_LiteBN,7,0.7871428571428571,0.7848240946364273,0.7871428571428571,36,0.6876994949494949,0.6428571428571339
WBCIC_MI,0,C1_LiteBN_SC,7,0.7935714285714285,0.7917092709964296,0.7935714285714288,46,0.6887310606060606,0.6428571428571339
WBCIC_MI,1,B0_Exact_LiteBN,6,0.7775,0.7653097944712327,0.7775,46,0.8926792929292929,2.416666666666678
WBCIC_MI,1,C1_LiteBN_SC,6,0.8016666666666667,0.789317305141959,0.8016666666666667,39,0.8926388888888889,2.416666666666678
WBCIC_MI,2,B0_Exact_LiteBN,6,0.7525000000000001,0.7509868754740777,0.7525,56,0.8879999999999999,0.16666666666667052
WBCIC_MI,2,C1_LiteBN_SC,6,0.7541666666666668,0.7530177410276231,0.7541666666666668,60,0.8889999999999999,0.16666666666667052
WBCIC_MI,3,B0_Exact_LiteBN,6,0.848917297979798,0.8481250390819112,0.8488675213675214,44,0.749,-0.6632996632996546
WBCIC_MI,3,C1_LiteBN_SC,6,0.8422843013468014,0.8413738846952818,0.8422863247863247,34,0.7609999999999999,-0.6632996632996546
WBCIC_MI,4,B0_Exact_LiteBN,6,0.7858333333333333,0.7799402264258739,0.7858333333333333,55,0.7609999999999999,-0.3333333333333188
WBCIC_MI,4,C1_LiteBN_SC,6,0.7825000000000001,0.776212788526024,0.7824999999999999,38,0.764,-0.3333333333333188
